Order_ID,Customer_ID,Product_ID,Order_Date,Quantity
10001,4345,1550,2023-05-24,5.0
10002,9168,4072,2024-12-22,3.0
10003,1989,6719,2023-06-14,3.0
10004,417,8295,2023-05-20,
10005,1593,5644,2025-02-20,5.0
10006,7925,2328,2024-09-03,6.0
10007,5381,3940,2024-08-02,4.0
10008,5669,3463,2025-01-02,5.0
10009,9868,2419,2023-07-16,3.0
10010,6879,7595,2025-01-14,1.0
10011,7718,7793,2024-10-12,10.0
10012,6743,2269,2023-12-31,3.0
10013,5947,5734,2023-06-12,6.0
10014,4761,3050,2023-10-30,
10015,2734,2392,2024-11-10,4.0
10016,947,2331,2023-11-28,4.0
10017,3402,2731,2024-07-28,6.0
10018,5459,3026,2023-05-14,7.0
10019,856,9100,2023-08-23,1.0
10020,509,5829,2023-09-05,4.0
10021,6324,5483,2023-05-05,9.0
10022,7561,5202,2023-06-13,5.0
10023,5229,6028,2024-01-29,9.0
10024,5096,2388,2023-07-30,2.0
10025,4190,8850,2024-05-14,3.0
10026,3936,5120,2023-06-02,10.0
10027,3163,8348,2023-12-28,6.0
10028,5418,9482,2025-01-27,5.0
10029,3291,6716,2024-05-09,7.0
10030,6978,4103,,10.0
10031,1934,4642,2024-08-27,7.0
10032,900,674,2024-01-28,10.0
10033,6918,2851,2023-04-16,2.0
10034,3180,3889,2025-01-17,4.0
10035,4875,9266,2024-04-28,8.0
10036,4885,4540,2023-10-08,6.0
10037,6293,273,2023-05-19,10.0
10038,5524,4336,2024-02-08,7.0
10039,6180,4065,2023-06-06,3.0
10040,52,5651,2023-04-21,3.0
10041,1337,6697,,10.0
10042,8215,8834,2023-11-21,10.0
10043,2712,2984,2024-12-28,2.0
10044,5652,6635,,8.0
10045,8501,5013,2024-06-03,10.0
10046,5806,4790,2023-05-13,6.0
10047,1046,4601,2024-01-18,9.0
10048,519,9792,2023-10-16,5.0
10049,3882,2871,2024-12-16,7.0
10050,5658,2941,2025-01-29,7.0
10051,1733,10038,2025-03-25,4.0
10052,1582,425,2023-12-07,4.0
10053,7015,7850,2023-11-06,1.0
10054,9353,7910,2024-01-03,8.0
10055,6062,5036,2023-04-29,1.0
10056,7392,8253,2024-06-07,1.0
10057,5359,2310,2023-04-11,7.0
10058,8821,8627,2025-02-17,8.0
10059,9133,533,2025-03-01,6.0
10060,8474,10017,2024-07-20,10.0
10061,8950,5044,2023-12-13,10.0
10062,6677,3822,2024-01-22,
10063,3305,191,2024-03-01,10.0
10064,4364,7726,2024-07-11,1.0
10065,3181,3323,2023-04-28,8.0
10066,4826,3511,2024-08-28,9.0
10067,7576,2369,2023-08-21,8.0
10068,6832,5697,2024-07-24,10.0
10069,1951,2264,2024-10-23,8.0
10070,4449,744,2024-07-13,1.0
10071,9135,5271,2024-02-23,2.0
10072,3939,7244,2023-09-28,7.0
10073,906,6782,2025-03-29,1.0
10074,2958,9718,2024-04-04,6.0
10075,8220,6276,2025-03-27,1.0
10076,2058,630,2023-09-05,7.0
10077,6290,6718,2023-04-11,4.0
10078,9992,6470,2023-11-19,7.0
10079,102,7068,2023-11-01,3.0
10080,3001,3010,2023-12-24,4.0
10081,6171,6814,2023-11-09,6.0
10082,3989,6429,2024-03-02,4.0
10083,9961,3987,2023-06-15,2.0
10084,6698,5045,2024-12-16,
10085,2952,9534,2023-06-28,5.0
10086,135,7713,2024-01-11,4.0
10087,3409,9452,2023-10-09,7.0
10088,5793,2902,2025-02-19,6.0
10089,217,8454,2024-12-11,10.0
10090,4887,9838,2025-02-10,9.0
10091,1099,7273,2023-11-02,3.0
10092,8993,415,2024-02-17,8.0
10093,6664,1619,2024-09-30,3.0
10094,4269,1528,2023-09-28,2.0
10095,3733,6079,2023-09-04,9.0
10096,7127,4039,2023-05-14,7.0
10097,9251,207,2024-07-19,1.0
10098,5387,8328,2023-10-02,4.0
10099,4377,1267,,7.0
10100,7977,9723,2023-09-03,9.0
10101,7571,1851,2024-12-31,8.0
10102,6558,3544,2025-01-27,9.0
10103,8021,1606,2024-12-31,3.0
10104,9583,3261,2024-12-12,1.0
10105,7814,3017,2023-10-09,2.0
10106,6368,6136,2024-10-21,3.0
10107,6214,1073,2024-06-22,2.0
10108,784,3224,2024-06-13,1.0
10109,4121,8548,2024-06-12,3.0
10110,5000,3535,2025-03-06,2.0
10111,2673,5894,2024-02-29,4.0
10112,8953,835,2024-06-14,5.0
10113,6042,8870,2023-04-28,6.0
10114,381,2501,2024-11-12,8.0
10115,3148,6668,2024-09-10,7.0
10116,241,3926,2024-08-12,1.0
10117,3534,7746,2023-09-12,9.0
10118,7115,3608,2023-07-01,1.0
10119,7201,4211,2024-03-03,8.0
10120,7252,2592,2024-12-10,5.0
10121,6459,8689,2024-03-03,8.0
10122,1742,3293,2023-10-25,6.0
10123,8169,1629,2025-03-14,10.0
10124,2553,1117,2024-02-09,2.0
10125,8291,7995,2023-09-23,7.0
10126,6465,5308,2024-09-14,6.0
10127,1781,3338,2024-05-16,2.0
10128,4750,8300,2024-07-26,4.0
10129,1665,9189,2023-06-10,8.0
10130,2123,6064,2023-07-26,6.0
10131,8249,7990,2024-10-10,7.0
10132,16,7237,2023-04-21,1.0
10133,6064,2490,2024-06-14,5.0
10134,3738,7807,2024-12-15,5.0
10135,8960,3037,2023-12-22,3.0
10136,5656,4928,2024-12-31,4.0
10137,1995,8872,2023-08-09,2.0
10138,6610,7440,2024-12-05,7.0
10139,6485,9558,2023-11-29,7.0
10140,2561,4289,2023-08-31,10.0
10141,10000,9135,2023-09-16,9.0
10142,1256,2332,2024-03-14,3.0
10143,9980,2995,2023-12-27,6.0
10144,6776,527,2023-08-14,6.0
10145,1310,8374,2024-03-13,4.0
10146,9664,8178,2023-07-25,8.0
10147,8025,7968,2023-07-21,8.0
10148,3891,8138,2023-06-14,1.0
10149,4437,9084,2024-12-04,6.0
10150,4225,283,2024-06-15,4.0
10151,4256,9262,2023-06-16,2.0
10152,983,6364,2025-01-05,9.0
10153,4100,2976,2025-03-28,5.0
10154,2997,7220,2024-04-24,9.0
10155,3178,6227,2023-07-07,7.0
10156,3383,9685,2024-11-12,6.0
10157,9607,9221,2024-12-10,4.0
10158,6537,9106,2024-06-30,1.0
10159,6917,3052,2024-01-01,10.0
10160,335,1831,,4.0
10161,1279,2043,2023-07-12,1.0
10162,1074,5344,2023-05-15,10.0
10163,5069,7263,2023-08-10,1.0
10164,4455,545,2024-11-23,10.0
10165,2348,1402,2024-01-06,9.0
10166,6961,6123,2024-02-20,9.0
10167,7615,6269,2025-01-15,8.0
10168,9970,1142,2023-11-03,2.0
10169,2629,8288,2023-05-26,4.0
10170,5050,3059,2025-02-18,9.0
10171,6996,9931,2023-06-29,6.0
10172,2369,854,2023-06-16,10.0
10173,2113,2390,2023-09-19,1.0
10174,600,5720,2024-07-24,8.0
10175,6030,6149,2023-05-01,1.0
10176,8649,2868,2024-04-09,10.0
10177,6904,9405,2025-02-06,10.0
10178,6554,1720,2025-03-09,7.0
10179,2299,9050,2023-12-09,1.0
10180,3278,9626,2023-08-02,6.0
10181,7327,4067,2024-08-23,4.0
10182,9670,7475,2024-01-26,10.0
10183,6475,4613,2024-04-30,1.0
10184,3220,7343,,4.0
10185,761,6498,2024-04-29,1.0
10186,4271,6359,2023-04-26,9.0
10187,8873,8447,2024-02-06,1.0
10188,8950,3546,2023-06-21,3.0
10189,9659,3843,2024-06-15,1.0
10190,5198,228,2024-01-18,5.0
10191,6147,3526,2024-07-15,8.0
10192,2543,1265,2024-12-29,9.0
10193,6,9586,2023-08-06,3.0
10194,2441,6904,2025-01-12,1.0
10195,6952,2635,2023-12-06,1.0
10196,8962,7933,2023-06-16,10.0
10197,3514,7391,2023-09-25,4.0
10198,9055,5568,2023-05-26,4.0
10199,2628,9881,2024-08-09,3.0
10200,3303,4994,2024-04-26,3.0
10201,5621,427,2024-07-24,2.0
10202,15,7442,2023-05-18,1.0
10203,2919,6704,2025-03-29,6.0
10204,7348,4996,2024-12-26,2.0
10205,3262,10083,2024-09-12,6.0
10206,853,4002,2024-01-21,5.0
10207,8295,1801,2023-05-20,1.0
10208,9885,3216,2024-01-13,6.0
10209,5346,9251,2023-07-27,3.0
10210,5230,7323,2023-09-18,3.0
10211,5523,7433,2024-02-24,8.0
10212,6608,1185,2024-01-08,10.0
10213,7312,4853,2023-05-27,10.0
10214,8963,5463,2024-03-07,9.0
10215,5913,9739,2023-07-20,6.0
10216,1076,3059,2023-09-23,3.0
10217,948,7170,2023-08-05,10.0
10218,9408,964,2024-12-04,1.0
10219,4895,3291,2024-03-18,4.0
10220,4085,1570,2025-02-12,4.0
10221,3879,1578,2024-09-25,8.0
10222,2941,7759,2024-03-09,8.0
10223,2948,6682,2024-03-19,7.0
10224,9346,5009,2025-01-03,7.0
10225,7472,3504,,4.0
10226,3421,8903,2025-03-04,3.0
10227,1695,8281,2024-07-16,10.0
10228,4693,5082,2023-06-20,8.0
10229,3750,1957,2024-10-25,4.0
10230,6521,7990,2024-06-10,4.0
10231,9865,8239,2024-11-09,3.0
10232,9880,667,2024-02-12,6.0
10233,2396,8839,2024-08-15,5.0
10234,7074,5556,2024-06-28,4.0
10235,6937,9565,2023-07-05,8.0
10236,933,5664,2023-11-08,4.0
10237,453,9944,2025-01-25,2.0
10238,105,6583,2023-07-05,6.0
10239,3722,5804,2024-12-18,1.0
10240,79,3323,2024-08-12,4.0
10241,5248,1934,2023-04-25,3.0
10242,1114,3701,2023-08-10,9.0
10243,4942,1532,2024-06-22,4.0
10244,5262,6548,2023-10-08,8.0
10245,4927,4215,2025-03-04,9.0
10246,1650,6280,2024-02-29,3.0
10247,9471,632,2024-01-04,5.0
10248,6115,5248,2023-11-07,10.0
10249,8125,4683,2024-12-27,1.0
10250,5020,9310,2024-02-17,8.0
10251,2279,4412,2023-04-26,6.0
10252,7979,2294,2023-09-06,10.0
10253,6162,8281,2023-05-12,1.0
10254,6534,416,2025-01-08,9.0
10255,5519,4440,2023-09-18,9.0
10256,2005,7109,2024-01-27,4.0
10257,9291,5611,2024-05-21,8.0
10258,9243,9939,2024-07-01,2.0
10259,9806,3146,2025-01-10,3.0
10260,1445,360,2024-03-26,4.0
10261,8242,8390,2025-03-16,2.0
10262,3240,1321,,9.0
10263,7952,380,2024-07-06,10.0
10264,1754,390,2024-08-30,1.0
10265,8879,8500,2023-08-19,10.0
10266,870,1398,2023-07-09,4.0
10267,1475,3849,2023-10-24,1.0
10268,49,3153,2024-01-18,4.0
10269,3012,7390,2024-07-16,10.0
10270,3972,7309,2024-12-25,7.0
10271,3990,2397,2024-07-10,5.0
10272,2792,796,2024-04-01,9.0
10273,3607,5295,2023-07-03,6.0
10274,5718,8414,2024-09-04,4.0
10275,5050,3622,2023-07-11,8.0
10276,6971,6572,2023-09-06,7.0
10277,7834,3353,2023-11-21,5.0
10278,2777,8552,,7.0
10279,608,4738,2023-08-31,1.0
10280,913,6389,2023-05-04,3.0
10281,9249,9909,2024-06-18,7.0
10282,8476,1512,2023-05-09,2.0
10283,1964,6749,2024-09-30,6.0
10284,3768,5746,2024-09-10,8.0
10285,7829,4847,2023-05-22,4.0
10286,769,7574,2023-05-24,2.0
10287,1283,2348,2025-01-04,6.0
10288,2139,7549,2023-10-20,6.0
10289,496,1824,2023-07-11,6.0
10290,8146,9736,2023-09-28,6.0
10291,2210,10024,2024-05-21,6.0
10292,7152,9324,2024-01-12,10.0
10293,3198,8145,2023-04-30,3.0
10294,1052,8878,2023-05-31,7.0
10295,7006,3964,2023-09-21,4.0
10296,8102,4107,2024-01-02,5.0
10297,9354,5609,2023-09-21,10.0
10298,2565,4566,2024-08-11,7.0
10299,464,5027,2024-01-20,4.0
10300,1678,560,2024-02-28,4.0
10301,6805,8522,2024-12-14,1.0
10302,6204,6869,2024-05-14,1.0
10303,3145,5217,2024-04-15,7.0
10304,6249,2885,2023-10-17,8.0
10305,1898,5758,2025-01-29,1.0
10306,9075,5158,2024-10-06,5.0
10307,3466,8292,2024-07-25,6.0
10308,9357,3678,2024-04-20,8.0
10309,5167,7960,2024-01-09,10.0
10310,8786,2070,2023-08-13,3.0
10311,4184,150,2023-11-11,5.0
10312,9468,2679,2024-04-07,8.0
10313,8941,5423,2024-08-26,3.0
10314,5167,4024,2023-11-10,7.0
10315,9172,3129,2024-06-07,4.0
10316,8791,7612,2025-01-29,6.0
10317,5255,9392,2024-01-24,7.0
10318,1472,554,2023-07-31,8.0
10319,1010,7805,2024-02-13,7.0
10320,4939,7114,2023-06-30,5.0
10321,1211,2256,2024-06-20,3.0
10322,4367,6351,2025-01-14,8.0
10323,8567,479,2024-11-27,6.0
10324,6579,4377,2023-08-04,1.0
10325,7561,4103,2024-10-01,6.0
10326,4000,8566,2024-10-12,4.0
10327,2663,9521,2024-08-24,6.0
10328,4136,5276,2024-12-29,10.0
10329,866,6708,2024-01-11,6.0
10330,6846,8407,2023-09-06,7.0
10331,9413,7152,2023-06-26,5.0
10332,1363,7453,2024-04-29,6.0
10333,9062,2304,2024-12-05,2.0
10334,7723,2687,2023-08-16,3.0
10335,1305,2931,2024-11-25,8.0
10336,6424,2068,2025-01-22,6.0
10337,3416,8643,2024-12-17,10.0
10338,1768,4113,2023-07-13,10.0
10339,4301,5999,2024-03-07,4.0
10340,1698,3712,2023-08-11,5.0
10341,4552,9334,2024-10-31,9.0
10342,3669,9459,2024-02-29,2.0
10343,375,2296,2024-02-21,6.0
10344,4157,3464,2024-01-04,3.0
10345,4640,1935,2024-10-26,4.0
10346,865,783,2024-03-08,2.0
10347,3637,1163,2023-08-23,2.0
10348,6140,2175,2023-05-09,3.0
10349,7717,305,2023-06-18,6.0
10350,4951,5695,2023-11-12,2.0
10351,9268,6207,2024-11-24,9.0
10352,3304,3404,2024-06-23,2.0
10353,5930,6970,2023-08-19,1.0
10354,8577,6957,2025-03-23,6.0
10355,8668,2503,2023-11-22,10.0
10356,2286,2253,2023-07-09,9.0
10357,2393,2247,2023-07-19,6.0
10358,7601,8100,2024-12-16,5.0
10359,4965,3385,2024-09-30,8.0
10360,1206,2796,,4.0
10361,7992,7699,2023-08-12,3.0
10362,1443,8709,2024-04-28,6.0
10363,660,7936,2024-12-11,7.0
10364,5686,7931,2024-12-24,6.0
